id,label,language,code_snippet,source_id,cwe,severity,description,fix_hint
SQL-0278,sql_injection,nodejs,db.query(`SELECT * FROM sessions WHERE token='${req.body.token}'`),OWASP-BENCHMARK-041277,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0078,insecure_api,nodejs,"res.setHeader('Access-Control-Allow-Origin', req.headers.origin);",NVD-CVE-2022-3077,CWE-942,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0271,hardcoded_secret,python,"AWS_SECRET = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",NVD-CVE-2018-2270,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0059,hardcoded_secret,python,"GITHUB_TOKEN = ""ghp_FakeTokenABCDEFGHIJKLMNOPQRSTUV""",NVD-CVE-2022-2058,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0299,hardcoded_secret,python,"GITHUB_TOKEN = ""ghp_FakeTokenABCDEFGHIJKLMNOPQRSTUV""",NVD-CVE-2022-2298,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0091,hardcoded_secret,python,"AWS_SECRET = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",NVD-CVE-2018-2090,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0294,insecure_api,nodejs,app.use(cors({ origin: '*' }));,NVD-CVE-2020-3293,CWE-942,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0093,insecure_api,python,"flask.run(debug=True, host='0.0.0.0')",OWASP-BENCHMARK-123092,CWE-94,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0128,insecure_api,nodejs,"res.setHeader('Access-Control-Allow-Origin', req.headers.origin);",NVD-CVE-2022-3127,CWE-942,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0063,hardcoded_secret,javascript,"const API_KEY = ""sk-live-abcd1234efgh5678ijkl9012"";",NVD-CVE-2019-2062,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0297,hardcoded_secret,java,"String jwtSecret = ""my_ultra_secret_jwt_key_hardcoded"";",NVD-CVE-2021-2296,CWE-321,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0128,hardcoded_secret,php,"$db_password = ""root_pass_2023!"";",OWASP-BENCHMARK-092127,CWE-259,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0071,sql_injection,python,"query = ""SELECT * FROM users WHERE id = "" + user_input",OWASP-BENCHMARK-001070,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0022,hardcoded_secret,java,"private static final String DB_PASS = ""P@ssw0rd123"";",OWASP-BENCHMARK-062021,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0053,insecure_api,python,"flask.run(debug=True, host='0.0.0.0')",OWASP-BENCHMARK-123052,CWE-94,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SAFE-0166,safe,java,"SSLContext ctx = SSLContext.getInstance(""TLSv1.3""); ctx.init(...);",OWASP-BENCHMARK-234165,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0108,sql_injection,nodejs,db.query(`SELECT * FROM sessions WHERE token='${req.body.token}'`),OWASP-BENCHMARK-041107,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0209,safe,python,import secrets; token = secrets.token_hex(32),NVD-SAFE-4208,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0056,hardcoded_secret,python,"STRIPE_SECRET = ""sk_live_51HqzGmKLN3yY6Xr2FAKEKEY9012""",OWASP-BENCHMARK-082055,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0051,safe,python,"cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))",OWASP-BENCHMARK-204050,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0043,hardcoded_secret,javascript,"const API_KEY = ""sk-live-abcd1234efgh5678ijkl9012"";",NVD-CVE-2019-2042,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0055,hardcoded_secret,yaml,"password: ""admin123""  # TODO: change before prod",NVD-CVE-2020-2054,CWE-259,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0024,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021023,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0044,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021043,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0244,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021243,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0138,insecure_api,nodejs,"res.setHeader('Access-Control-Allow-Origin', req.headers.origin);",NVD-CVE-2022-3137,CWE-942,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SAFE-0236,safe,java,"SSLContext ctx = SSLContext.getInstance(""TLSv1.3""); ctx.init(...);",OWASP-BENCHMARK-234235,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0068,hardcoded_secret,php,"$db_password = ""root_pass_2023!"";",OWASP-BENCHMARK-092067,CWE-259,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0164,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021163,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0216,safe,java,"SSLContext ctx = SSLContext.getInstance(""TLSv1.3""); ctx.init(...);",OWASP-BENCHMARK-234215,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0033,hardcoded_secret,javascript,"const API_KEY = ""sk-live-abcd1234efgh5678ijkl9012"";",NVD-CVE-2019-2032,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0089,safe,python,import secrets; token = secrets.token_hex(32),NVD-SAFE-4088,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0273,safe,python,password = os.environ['DB_PASSWORD'],NVD-SAFE-4272,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0102,safe,java,"PreparedStatement ps = conn.prepareStatement(""SELECT * FROM u WHERE id=?""); ps.setInt(1,uid);",OWASP-BENCHMARK-214101,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0078,hardcoded_secret,php,"$db_password = ""root_pass_2023!"";",OWASP-BENCHMARK-092077,CWE-259,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0010,hardcoded_secret,nodejs,"process.env.JWT_SECRET = ""hardcoded_jwt_secret_value"";",OWASP-BENCHMARK-102009,CWE-321,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0156,sql_injection,python,"db.execute(f""INSERT INTO audit (msg) VALUES ('{msg}')"")",OWASP-BENCHMARK-031155,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0211,sql_injection,python,"query = ""SELECT * FROM users WHERE id = "" + user_input",OWASP-BENCHMARK-001210,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0087,sql_injection,ruby,"User.where(""name = '#{params[:name]}'"")",NVD-CVE-2021-1086,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0169,sql_injection,python,"cursor.execute(""SELECT role FROM staff WHERE username='"" + uname + ""'"")",NVD-CVE-2022-1168,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0095,safe,python,"requests.get(url, verify=True, cert=('/path/cert.pem','/path/key.pem'))",OWASP-BENCHMARK-224094,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0052,sql_injection,java,"String sql = ""SELECT * FROM orders WHERE uid='"" + uid + ""'"";",OWASP-BENCHMARK-011051,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0139,hardcoded_secret,python,"GITHUB_TOKEN = ""ghp_FakeTokenABCDEFGHIJKLMNOPQRSTUV""",NVD-CVE-2022-2138,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0250,hardcoded_secret,nodejs,"process.env.JWT_SECRET = ""hardcoded_jwt_secret_value"";",OWASP-BENCHMARK-102249,CWE-321,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0191,hardcoded_secret,python,"AWS_SECRET = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",NVD-CVE-2018-2190,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0126,hardcoded_secret,python,"STRIPE_SECRET = ""sk_live_51HqzGmKLN3yY6Xr2FAKEKEY9012""",OWASP-BENCHMARK-082125,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0136,sql_injection,python,"db.execute(f""INSERT INTO audit (msg) VALUES ('{msg}')"")",OWASP-BENCHMARK-031135,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0292,safe,java,"PreparedStatement ps = conn.prepareStatement(""SELECT * FROM u WHERE id=?""); ps.setInt(1,uid);",OWASP-BENCHMARK-214291,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0055,sql_injection,java,"stmt.execute(""UPDATE users SET pass='"" + newPass + ""' WHERE user='"" + user + ""'"")",NVD-CVE-2020-1054,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0079,sql_injection,python,"cursor.execute(""SELECT role FROM staff WHERE username='"" + uname + ""'"")",NVD-CVE-2022-1078,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0131,hardcoded_secret,python,"AWS_SECRET = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",NVD-CVE-2018-2130,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0185,sql_injection,java,"stmt.execute(""UPDATE users SET pass='"" + newPass + ""' WHERE user='"" + user + ""'"")",NVD-CVE-2020-1184,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0057,sql_injection,ruby,"User.where(""name = '#{params[:name]}'"")",NVD-CVE-2021-1056,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0043,safe,python,password = os.environ['DB_PASSWORD'],NVD-SAFE-4042,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
API-0251,insecure_api,python,"requests.get(url, verify=False)",OWASP-BENCHMARK-113250,CWE-295,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SAFE-0264,safe,nodejs,const secret = process.env.JWT_SECRET;,NVD-SAFE-4263,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0219,sql_injection,python,"cursor.execute(""SELECT role FROM staff WHERE username='"" + uname + ""'"")",NVD-CVE-2022-1218,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0245,insecure_api,python,pickle.loads(user_supplied_bytes),OWASP-BENCHMARK-133244,CWE-502,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0114,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021113,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0249,hardcoded_secret,python,"GITHUB_TOKEN = ""ghp_FakeTokenABCDEFGHIJKLMNOPQRSTUV""",NVD-CVE-2022-2248,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0119,safe,python,import secrets; token = secrets.token_hex(32),NVD-SAFE-4118,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0173,safe,python,password = os.environ['DB_PASSWORD'],NVD-SAFE-4172,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0175,sql_injection,java,"stmt.execute(""UPDATE users SET pass='"" + newPass + ""' WHERE user='"" + user + ""'"")",NVD-CVE-2020-1174,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0123,safe,python,password = os.environ['DB_PASSWORD'],NVD-SAFE-4122,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
API-0016,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3015,CWE-502,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0214,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072213,CWE-321,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0162,hardcoded_secret,java,"private static final String DB_PASS = ""P@ssw0rd123"";",OWASP-BENCHMARK-062161,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0287,sql_injection,ruby,"User.where(""name = '#{params[:name]}'"")",NVD-CVE-2021-1286,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0082,hardcoded_secret,java,"private static final String DB_PASS = ""P@ssw0rd123"";",OWASP-BENCHMARK-062081,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0108,safe,nodejs,"const bcrypt = require('bcrypt'); bcrypt.hash(pwd, 12)",OWASP-BENCHMARK-244107,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
API-0071,insecure_api,python,"requests.get(url, verify=False)",OWASP-BENCHMARK-113070,CWE-295,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0235,hardcoded_secret,yaml,"password: ""admin123""  # TODO: change before prod",NVD-CVE-2020-2234,CWE-259,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0010,safe,java,"String q = ""SELECT * FROM t WHERE id=?""; stmt = con.prepareStatement(q); stmt.setString(1,id);",OWASP-BENCHMARK-254009,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0293,sql_injection,php,"mysql_query(""SELECT * FROM products WHERE name='"" . $name . ""'"")",NVD-CVE-2019-1292,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0124,sql_injection,python,"cursor.execute(""DELETE FROM logs WHERE id="" + str(log_id))",OWASP-BENCHMARK-021123,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0283,hardcoded_secret,javascript,"const API_KEY = ""sk-live-abcd1234efgh5678ijkl9012"";",NVD-CVE-2019-2282,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0141,sql_injection,python,"query = ""SELECT * FROM users WHERE id = "" + user_input",OWASP-BENCHMARK-001140,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0136,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3135,CWE-502,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0082,sql_injection,java,"String sql = ""SELECT * FROM orders WHERE uid='"" + uid + ""'"";",OWASP-BENCHMARK-011081,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0282,insecure_api,java,"conn.setHostnameVerifier((h,s) -> true);",NVD-CVE-2019-3281,CWE-297,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0140,insecure_api,java,Runtime.getRuntime().exec(userInput);,NVD-CVE-2023-3139,CWE-78,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SAFE-0202,safe,java,"PreparedStatement ps = conn.prepareStatement(""SELECT * FROM u WHERE id=?""); ps.setInt(1,uid);",OWASP-BENCHMARK-214201,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0009,safe,python,import secrets; token = secrets.token_hex(32),NVD-SAFE-4008,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0267,safe,python,import html; safe = html.escape(user_input),NVD-SAFE-4266,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0037,safe,python,import html; safe = html.escape(user_input),NVD-SAFE-4036,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0072,hardcoded_secret,java,"private static final String DB_PASS = ""P@ssw0rd123"";",OWASP-BENCHMARK-062071,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0290,insecure_api,java,Runtime.getRuntime().exec(userInput);,NVD-CVE-2023-3289,CWE-78,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0157,sql_injection,ruby,"User.where(""name = '#{params[:name]}'"")",NVD-CVE-2021-1156,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0092,safe,java,"PreparedStatement ps = conn.prepareStatement(""SELECT * FROM u WHERE id=?""); ps.setInt(1,uid);",OWASP-BENCHMARK-214091,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
API-0022,insecure_api,java,"conn.setHostnameVerifier((h,s) -> true);",NVD-CVE-2019-3021,CWE-297,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SAFE-0138,safe,nodejs,"const bcrypt = require('bcrypt'); bcrypt.hash(pwd, 12)",OWASP-BENCHMARK-244137,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SQL-0245,sql_injection,java,"stmt.execute(""UPDATE users SET pass='"" + newPass + ""' WHERE user='"" + user + ""'"")",NVD-CVE-2020-1244,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0159,sql_injection,python,"cursor.execute(""SELECT role FROM staff WHERE username='"" + uname + ""'"")",NVD-CVE-2022-1158,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0146,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3145,CWE-502,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0193,sql_injection,php,"mysql_query(""SELECT * FROM products WHERE name='"" . $name . ""'"")",NVD-CVE-2019-1192,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0234,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072233,CWE-321,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0004,safe,nodejs,const secret = process.env.JWT_SECRET;,NVD-SAFE-4003,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0104,safe,nodejs,const secret = process.env.JWT_SECRET;,NVD-SAFE-4103,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SAFE-0170,safe,java,"String q = ""SELECT * FROM t WHERE id=?""; stmt = con.prepareStatement(q); stmt.setString(1,id);",OWASP-BENCHMARK-254169,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0114,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072113,CWE-321,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0287,safe,python,import html; safe = html.escape(user_input),NVD-SAFE-4286,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
